Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
919,T001,4595,-0.0775359076012674,0.0773700118962103
920,T001,4600,-0.0723831124994291,0.0831669076999576
921,T001,4605,-0.0656200688712623,0.0886417537834165
922,T001,4610,-0.0598231742811999,0.0934725003653092
923,T001,4615,-0.050805782601628,0.0973370976562956
924,T001,4620,-0.0433986393494432,0.0999134958628844
925,T001,4625,-0.0347032971705084,0.102811943857359
926,T001,4630,-0.025685905166435,0.104744242527444
927,T001,4635,-0.0176346622065137,0.106998590983065
928,T001,4640,-0.00829522025539196,0.107320640763072
929,T001,4645,0.011027763494893,0.107320640763072
930,T001,4650,0.0203672058367544,0.106998590983065
931,T001,4655,0.0293845985644595,0.106354491423526
932,T001,4660,0.0380799416656167,0.104422192748702
933,T001,4665,0.046453235128201,0.103133993635312
934,T001,4670,0.0554706282045395,0.100235545639417
935,T001,4675,0.062555722849657,0.095726848782297
936,T001,4680,0.0683526185242831,0.0918622515007503
937,T001,4685,0.0751156635417632,0.0870315049306364
938,T001,4690,0.080590509558702,0.0812346090930769
939,T001,4695,0.0860653556208507,0.0751156635417632
940,T001,4700,0.0905740524119321,0.0689967180467969
941,T001,4705,0.0944386496859315,0.0609454740600838
942,T001,4710,0.0979811972069973,0.0538603794320175
943,T001,4715,0.101201694969962,0.0458091356273814
944,T001,4720,0.102489894079564,0.037113792426628
945,T001,4725,0.105066292306345,0.0280963995960169
946,T001,4730,0.105710391864619,0.0190790068854306
947,T001,4735,0.106032441643994,0.0107057137612497
948,T001,4740,0.106354491423526,-0.00829522025539196
949,T001,4745,0.105388342085403,-0.0169905627656694
950,T001,4750,0.104100142970117,-0.0253638554498363
951,T001,4755,0.102811943857359,-0.0340591977455278
952,T001,4760,0.100235545639417,-0.0411442913875409
953,T001,4765,0.0976591474315677,-0.049195534075216
954,T001,4770,0.0947606994597868,-0.0562806275637552
955,T001,4775,0.0905740524119321,-0.0636877706798773
956,T001,4780,0.086709455160551,-0.0688405658451363
957,T001,4785,0.0812346090930769,-0.0752815597488286
958,T001,4790,0.0757597630708245,-0.0807564045208833
959,T001,4795,0.0696408175699335,-0.0852651001837951
960,T001,4800,0.0635218721252641,-0.0894517461308968
961,T001,4805,0.0570808769809323,-0.0939604417387185
962,T001,4810,0.0499957823937427,-0.0971809385840066
963,T001,4815,0.0413004391389081,-0.100723485097063
964,T001,4820,0.0342153447179575,-0.102333733506292
965,T001,4825,0.026486150888908,-0.104588081273132
966,T001,4830,0.0197231063607874,-0.106520379353353
967,T001,4835,0.0103836640277584,-0.108774727107035
968,T001,4840,-0.00539677272756046,-0.109740876142162
969,T001,4845,-0.0131259661079789,-0.110062925820249
970,T001,4850,-0.0211772091204241,-0.110707025175989
971,T001,4855,-0.0276182034628849,-0.111351124531153
972,T001,4860,-0.0343812474580926,-0.111029074853643
973,T001,4865,-0.0417883908059703,-0.110707025175989
974,T001,4870,-0.0475852855450998,-0.110707025175989
